AppName,RelPath,File,SourceCategory,SourceKind,Line,Func,QueryHash,ObjectName,DbName,SchemaName,BaseName,IsCrossDb,IsLinkedServer,Role,DmlKind,IsWrite,IsObjectNameDynamic,IsPseudoObject,PseudoKind
dotnet-sample,clsDataAccess1.cs,clsDataAccess1.cs,code,csharp,543,LogPaymentDirect,055cdf2f6482e622ba61acb2b9cc643a98330bc3,dbo.SBNSchedLogORIPaymentDirect,,dbo,SBNSchedLogORIPaymentDirect,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess1.cs,clsDataAccess1.cs,code,csharp,583,LogUnblokirAPI,c8940190c7437aa3bd1041029c037117f9aa5462,dbo.sp_sbn_log_unblokir_api,,dbo,sp_sbn_log_unblokir_api,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess1.cs,clsDataAccess1.cs,code,csharp,91,InvestorUpdateResponse,6b113e76ba2fbcd113568d771872b97288d0e015,dbo.SBNSchedUpdateResponseInvestor,,dbo,SBNSchedUpdateResponseInvestor,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess2.cs,clsDataAccess2.cs,code,csharp,1039,ORI_Online_GetProductDetail,1a9612fb5ea1777afc3116ae9b2d16b942ee2cd7,dbo.ORISBNIPopulateEarlyRedemption,,dbo,ORISBNIPopulateEarlyRedemption,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess2.cs,clsDataAccess2.cs,code,csharp,110,NTIUpdateReviewedCustomerID,a43a58f43b2d016c8982bcfd1030bcdaace9d5ad,dbo.OMUpdateReviewedCustomerID,,dbo,OMUpdateReviewedCustomerID,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess2.cs,clsDataAccess2.cs,code,csharp,1101,ORI_Online_GetProductDetail,a252cadf8bb8cf4563b17209f8e9f76ae659af2d,dbo.ORISBNISubmitEarlyRedemption,,dbo,ORISBNISubmitEarlyRedemption,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess2.cs,clsDataAccess2.cs,code,csharp,1182,ORI_Online_GetProductDetail,a84e105975a0bc5f82db8f369e84ddb06cf8746c,dbo.OMGetListProductSekunder,,dbo,OMGetListProductSekunder,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess2.cs,clsDataAccess2.cs,code,csharp,1243,clsDataAccess2.cs@L1243,ec23ea59fa055c38867de74e98d24ff34d436578,dbo.TRSPopulateTransactionBalance,,dbo,TRSPopulateTransactionBalance,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess2.cs,clsDataAccess2.cs,code,csharp,1371,clsDataAccess2.cs@L1371,971166f119619ebfdba05bbb40987d334808df22,dbo.TRSRetailCalculateFee,,dbo,TRSRetailCalculateFee,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess2.cs,clsDataAccess2.cs,code,csharp,145,ValidateCustomer,d1e866092270fc7ec4ed36cb3e8660181d038046,dbo.OMValidateCustomer,,dbo,OMValidateCustomer,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess2.cs,clsDataAccess2.cs,code,csharp,1462,clsDataAccess2.cs@L1462,440aea889c671a22157f0147a3c8d104a7a3c33f,dbo.OMTrxSecCalculate,,dbo,OMTrxSecCalculate,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess2.cs,clsDataAccess2.cs,code,csharp,1525,ONFXDataTrxInquiry,e3db25ddb04199d75c590b17f530cb0978569a3e,dbo.VELPopulateONFXTrxByDeal,,dbo,VELPopulateONFXTrxByDeal,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess2.cs,clsDataAccess2.cs,code,csharp,1604,ONFXDataTrxInquiry,b3987533e94f2670dee6ef49cf77d612836f8574,dbo.OMSubmitTransactionSekunder,,dbo,OMSubmitTransactionSekunder,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess2.cs,clsDataAccess2.cs,code,csharp,1647,UpdateAccruedInterest,469dfb8eaf02e3dc6261e15b2a5afdd8f7311c8f,dbo.TRSRetailUpdateAccruedInterest,,dbo,TRSRetailUpdateAccruedInterest,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess2.cs,clsDataAccess2.cs,code,csharp,1692,UpdateAccruedInterest,730a9ad77c131b740e9ef23e28cb430ac544eafe,dbo.<dynamic-object>,,dbo,<dynamic-object>,false,false,target,UPDATE,true,true,true,dynamic-object
dotnet-sample,clsDataAccess2.cs,clsDataAccess2.cs,code,csharp,1692,UpdateAccruedInterest,730a9ad77c131b740e9ef23e28cb430ac544eafe,dbo.sp,,dbo,sp,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess2.cs,clsDataAccess2.cs,code,csharp,1805,calculateORI2,971166f119619ebfdba05bbb40987d334808df22,dbo.TRSRetailCalculateFee,,dbo,TRSRetailCalculateFee,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess2.cs,clsDataAccess2.cs,code,csharp,1877,calculateORI2,93c7cc4a5142bf9916a7cd25da39be8c999128e1,dbo.OMInputLogProcess,,dbo,OMInputLogProcess,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess2.cs,clsDataAccess2.cs,code,csharp,1897,calculateORI2,381839bc60b84083a92601515eb733800c9f213c,dbo.OMDeleteProcessInputSecurityMaster,,dbo,OMDeleteProcessInputSecurityMaster,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess2.cs,clsDataAccess2.cs,code,csharp,1925,calculateORI2,e6cc4bd144e3aee630a895f97ccf3dad823e28da,dbo.<dynamic-object>,,dbo,<dynamic-object>,false,false,target,UPDATE,true,true,true,dynamic-object
